Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JAN-2022,17377.95,17788.45,17371.35,17761.05,61376963,5664.86
04-JAN-2022,17816.35,17994.35,17726.85,17972.95,76597784,6517.99
05-JAN-2022,18027.6,18395.4,17973.5,18336.65,93791463,10669.7
06-JAN-2022,18111.6,18284.75,18016.8,18174.8,69285331,7622.97
07-JAN-2022,18215.15,18356.55,18070.85,18206.05,79927067,8334.14
10-JAN-2022,18282.7,18503.9,18282.7,18483.85,66775939,6777.43
11-JAN-2022,18487.1,18562.85,18381.85,18538.8,66202974,6570.31
12-JAN-2022,18660.25,18747.65,18613.6,18684.75,76710193,7862.52
13-JAN-2022,18705.1,18705.1,18560.4,18611.8,70932023,7639.24
14-JAN-2022,18508.05,18603.6,18412,18566.1,56764189,5580.42
17-JAN-2022,18504,18688.4,18478.65,18521.65,74454490,7106.71
18-JAN-2022,18590.3,18730.1,18429.1,18468.7,86713109,8138.41
19-JAN-2022,18488.05,18488.05,18170.45,18269.95,75645007,10159.46
20-JAN-2022,18286.15,18319,17988,18137.95,79109760,9710.67
21-JAN-2022,17974.35,18114.3,17858.1,18047.05,79993068,8379.78
24-JAN-2022,18019.9,18039.5,17389,17633.45,104316024,10302.79
25-JAN-2022,17445.55,17829.2,17324.15,17789.8,127203072,12123.68
27-JAN-2022,17509.3,17834.6,17386,17763.15,151816987,14420.06
28-JAN-2022,17878.05,17995.85,17634.15,17673.55,110332844,10835.87
31-JAN-2022,17856.8,17931.4,17707.35,17836.25,109046391,9196.76
01-FEB-2022,18065.9,18218.15,17702.55,18060.25,113551661,10275.75
02-FEB-2022,18207.1,18430.75,18178.2,18408.8,98810815,9488.68
03-FEB-2022,18394.55,18429.25,18090.9,18153.3,103034221,7996.76
04-FEB-2022,18221.45,18241.05,17978.65,18071.7,111889909,8016.12
07-FEB-2022,17970.5,18066.4,17534.95,17607.85,121794459,9789.85
08-FEB-2022,17695.7,17719.7,17379.6,17632.55,103303760,9706.36
09-FEB-2022,17761.55,17879.95,17716.45,17860.35,74256714,7143.41
10-FEB-2022,17967.05,18145.8,17819.2,18068.35,97743463,9415.45
11-FEB-2022,17859.2,17907.7,17730.6,17803,85570673,7498.48
14-FEB-2022,17439.8,17488.45,17022.4,17059.1,111114554,9539.4
