Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JAN-2023,18982.5,19123.5,18937.15,19074.45,61011406,3416.58
03-JAN-2023,19041.55,19219.55,19041.55,19196.05,111762851,6223.87
04-JAN-2023,19172.6,19257.05,18966.75,19007,85837737,6308.02
05-JAN-2023,19042.15,19045.2,18670.15,18782.2,89654991,9920.79
06-JAN-2023,18808.65,18816.45,18500.1,18603.75,101326348,8436.6
09-JAN-2023,18687.6,18805.1,18608.05,18731.55,91407593,7850.18
10-JAN-2023,18758.2,18771.6,18412.4,18474.05,80049839,6768.97
11-JAN-2023,18485.8,18608.95,18347.3,18566.6,73911800,6357.39
12-JAN-2023,18571.1,18632.35,18411.55,18540.05,77191780,7149.96
13-JAN-2023,18567.15,18682.45,18453.9,18646.2,76247865,7031.89
16-JAN-2023,18763.1,18794.85,18461.05,18506.25,68467308,6635.09
17-JAN-2023,18531.2,18632.45,18447.2,18604.25,74215689,6347.07
18-JAN-2023,18617.1,18785.2,18560.1,18753.5,78328669,7588.44
19-JAN-2023,18740.15,18797,18685,18739.7,58712048,5718.22
20-JAN-2023,18799.75,18873,18751.7,18772.4,69458422,6546.39
23-JAN-2023,18897.3,18961.85,18843.35,18887.5,69534191,7298.33
24-JAN-2023,18957.55,19003.8,18844.9,18890,80223011,8488.92
25-JAN-2023,18869.1,18886.1,18447.05,18488.55,109966823,8396.2
27-JAN-2023,18372.65,18383.55,17916.55,18030.85,182363616,14902.87
30-JAN-2023,17836.1,18175.65,17707.45,18091.25,155118313,13845.89
31-JAN-2023,18155.1,18175.7,17950.5,18095,127916526,11598.4
01-FEB-2023,18294.9,18658.65,17715.65,18084.8,195397292,16089.77
02-FEB-2023,17839.5,18085.6,17747.9,18022.15,139073959,11684.57
03-FEB-2023,18132.15,18462.15,18074.65,18447.65,110187727,9352.95
06-FEB-2023,18440.8,18510.2,18296.85,18371.6,88329407,7234.78
07-FEB-2023,18421.65,18455.95,18242.9,18395.65,77140323,6669.95
08-FEB-2023,18415.5,18566.75,18405.35,18485.95,73540986,6564.03
09-FEB-2023,18525.45,18538,18396.65,18511.8,72439405,6655.16
10-FEB-2023,18476.25,18565.45,18463.9,18516.2,58780396,5391.78
13-FEB-2023,18504.05,18540.1,18342.15,18428.95,69491944,5381.51
14-FEB-2023,18483.85,18619.5,18425.6,18595.7,82190041,6407.6
15-FEB-2023,18595.1,18663,18494.95,18636.95,69566740,6018.34
16-FEB-2023,18714.05,18738.85,18541.85,18587.8,60064707,5257.21
17-FEB-2023,18539.15,18555.8,18317.4,18434.1,62695902,5473.75
20-FEB-2023,18473.6,18503.8,18208.55,18252.55,64537798,5042.12
21-FEB-2023,18295.7,18378.35,18215.4,18262.45,78083689,5941.85
22-FEB-2023,18186.05,18204.55,17905.2,17941.25,80071698,6398.35
23-FEB-2023,17926.5,17984.65,17763.75,17912.1,82606213,7789.28
24-FEB-2023,18022.25,18036.75,17827.95,17864.1,65078168,6119.7
27-FEB-2023,17819.55,18037,17787.1,18001.4,66642254,5925.86
28-FEB-2023,17969.7,18059.85,17909.45,17989.65,100014616,9385.77
01-MAR-2023,18083.5,18136.1,18037.95,18100.3,78212590,6552.6
02-MAR-2023,18070.2,18144.15,17920.4,17946.95,75010398,6970.25
03-MAR-2023,18070.35,18322.8,18024.25,18264.5,93156323,7454.34
06-MAR-2023,18336.35,18466.2,18320.2,18369.55,102593010,8978.03
08-MAR-2023,18316,18410.9,18272.3,18393.2,116073771,9845.48
09-MAR-2023,18374.95,18445.7,18237.2,18255.5,100511067,8238.09
10-MAR-2023,18077.3,18088,17863.2,17927.75,95666600,8711.38
13-MAR-2023,17907.55,18079,17584,17635,97874798,8936.77
14-MAR-2023,17617.5,17717.65,17456.45,17545.75,115709458,11203.74
15-MAR-2023,17693.45,17746.25,17361.85,17410.75,108287600,8410.72
16-MAR-2023,17429.95,17564.45,17261.3,17463.9,109338231,8507.57
17-MAR-2023,17577.05,17728.85,17386.2,17671.4,120699358,9560.89
20-MAR-2023,17665.8,17665.8,17379.95,17549.75,101940646,9902.46
21-MAR-2023,17660.3,17830.35,17593.7,17806.8,117600356,10189.17
22-MAR-2023,17869.4,17895.5,17783.25,17863.45,79113536,7196.18
23-MAR-2023,17790.7,17967.05,17716.25,17746.55,96926317,9033.18
24-MAR-2023,17688.65,17788.45,17579.95,17623.4,95994845,9305.11
